number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_ub-actions,params_ub-frames,params_weight-decay,state
0,0.5440354853868484,2025-03-02 12:30:18.648978,2025-03-02 12:31:32.939407,0 days 00:01:14.290429,0.49266584718355505,0.3375453659141387,8,0.013021176999083391,0.05559817232185258,0.03373541481216014,0.01890318679541697,0.07183736412654833,0.04761256710664196,0.05226011085840965,23,20,0.007726922154849428,0.2973146215152207,True,False,0.0005123349773082884,COMPLETE
1,0.569379523396492,2025-03-02 12:31:32.942408,2025-03-02 12:33:07.611166,0 days 00:01:34.668758,0.27500963501455844,0.3786128514906004,8,0.05769558115819456,0.07934757345321611,0.050591883872958134,0.0880749109766472,0.04244900023977943,0.0066798158584837975,1.081917568341212e-05,30,16,0.0540458454649099,0.05936754306517343,False,True,0.0009614951536661202,COMPLETE
2,0.5440354853868484,2025-03-02 12:33:07.613447,2025-03-02 12:34:21.487494,0 days 00:01:13.874047,0.20190525981464935,0.79869904594344,8,0.015690006926068,0.07443006875566884,0.03439707065986565,0.037924140039788626,0.012495345613748182,0.04785440166291558,0.04168580560551122,23,22,0.06854642320821487,0.16825316794695913,True,False,3.681422800532292e-06,COMPLETE
3,0.5972961813211441,2025-03-02 12:34:21.489791,2025-03-02 12:35:43.820284,0 days 00:01:22.330493,0.31199940522191744,0.46032378840025423,8,0.016051925621963777,0.05974273631399821,0.06136718806361789,0.07697517920329934,0.003354258483573102,0.021714186239758817,4.762979977383392e-05,21,22,0.023316056094794327,0.2862058873930355,False,False,3.394087864704654e-05,COMPLETE
4,0.6644350737333298,2025-03-02 12:35:43.822527,2025-03-02 12:36:44.128482,0 days 00:01:00.305955,0.5886993359761952,0.6426395679376737,8,0.0054361699907269955,0.09806921448527715,0.02313639501154247,0.02654870548208331,0.012953507937293371,0.09385230894653546,0.06478751355018171,16,19,0.025230036384502948,0.2752676829941485,False,True,6.8708265970977e-05,COMPLETE
5,0.6152892768383026,2025-03-02 12:36:44.130886,2025-03-02 12:38:12.151036,0 days 00:01:28.020150,0.5175665013702346,0.39289756526185027,8,0.07885145610834121,0.023592456383919002,0.006435681804053097,0.02527297185303975,0.02196181938493571,0.006727695377191474,0.037872952459655336,24,24,0.036314930340026794,0.22367488921328857,False,False,0.000460239529093838,COMPLETE
6,0.6432427555322647,2025-03-02 12:38:12.153337,2025-03-02 12:39:29.233796,0 days 00:01:17.080459,0.35628542627023607,0.3212293368546912,8,0.07808696584314352,0.05085957632827613,0.016739765861123322,0.019603242453495952,0.08333592938945834,0.07182296608219586,1.5781369794383923e-05,24,4,0.030723737655910167,0.27801592135895936,True,True,5.622653478976933e-06,COMPLETE
7,0.5440354853868484,2025-03-02 12:39:29.236251,2025-03-02 12:40:28.178479,0 days 00:00:58.942228,0.3283396163023737,0.48549234907539224,8,0.06722285705578727,0.06150554351533249,0.03598888050375681,0.010221450894242066,0.06362819466679996,0.06981306395671104,0.0004960158276843713,16,5,0.06975599614370699,0.12332324550788687,True,True,8.900139945295712e-05,COMPLETE
8,0.5440354853868484,2025-03-02 12:40:28.180965,2025-03-02 12:41:40.275989,0 days 00:01:12.095024,0.5636291853239239,0.6503410234425349,8,0.08172421035564702,0.0964216763788686,0.09780908517567503,0.008393260649726529,0.029939886776786825,0.0069235748807946855,0.0192619725535555,21,15,0.013715400200617678,0.06497193599593024,True,True,2.002780316633757e-05,COMPLETE
9,0.5487615942955016,2025-03-02 12:41:40.278349,2025-03-02 12:42:39.084529,0 days 00:00:58.806180,0.3397379063704863,0.2311538063346226,8,0.061968089417879124,0.08355624283570454,0.05621718269673254,0.048078790379932616,0.09934040070452424,0.09522627065027421,2.3885009433011883e-05,16,5,0.03211333992480601,0.1186421913225271,False,True,1.1606490336549033e-06,COMPLETE
10,0.5290063172578812,2025-03-02 12:42:39.086987,2025-03-02 12:43:41.887218,0 days 00:01:02.800231,0.7922843516566411,0.6253375378437832,8,0.03415914155600965,0.02371074636518511,0.07970204766111183,0.06305188024981243,0.04755023992091948,0.09965781161498605,0.0038237182233979094,18,11,0.09501936301608208,0.21250360403027008,False,True,0.00014001131462027268,COMPLETE
11,0.5440354853868484,2025-03-02 12:43:41.890177,2025-03-02 12:45:08.360694,0 days 00:01:26.470517,0.6470221544986323,0.6242298918937277,8,0.08859301152858196,0.034293175912710035,0.007877528943522618,0.03508483932702167,0.09370913807853733,0.07353069921833308,0.0002531026811174931,27,10,0.0429661635693573,0.2360731146215712,True,True,7.411752777794198e-06,COMPLETE
12,0.5440354853868484,2025-03-02 12:45:08.363198,2025-03-02 12:46:34.289569,0 days 00:01:25.926371,0.41967511420363585,0.2620925664412241,8,0.0995146500580632,0.006067746638704803,0.02454565621694728,0.0012251536457969434,0.07675526839827096,0.07982110742298724,0.003934908390379144,26,19,0.0036293032962332467,0.2575100754828991,True,True,1.0695205918608867e-05,COMPLETE
13,0.5440354853868484,2025-03-02 12:46:34.292078,2025-03-02 12:47:38.099792,0 days 00:01:03.807714,0.6628235039237422,0.7472320559635292,8,0.039349133833107626,0.09906309477003443,0.017632129499965066,0.02792741805459058,0.08366268748827413,0.061513920859778234,0.00012168038975606636,19,10,0.02505657459970943,0.1838497206939362,False,True,4.883751339956804e-05,COMPLETE
14,0.5440354853868484,2025-03-02 12:47:38.102312,2025-03-02 12:49:04.338624,0 days 00:01:26.236312,0.3967165243275039,0.5341649271444009,8,0.04127053380401653,0.044866191969951605,0.018311661090587687,0.05206161023504806,0.05941626695314891,0.08694954876172811,0.0018692827535699312,26,17,0.05332054647788293,0.26430101870376377,True,True,2.609381108688662e-06,COMPLETE
15,0.6279730349779129,2025-03-02 12:49:04.341161,2025-03-02 12:50:09.159186,0 days 00:01:04.818025,0.6366870807898198,0.5515877963058925,8,0.00326014574651694,0.00549014109143843,0.001621982485146613,0.018005393130858482,0.03453150264439349,0.0598121967241241,0.007280219093636851,19,12,0.017707014458300946,0.20264392074179768,False,True,0.00015358076683890366,COMPLETE
16,0.5684396833181382,2025-03-02 12:50:09.161804,2025-03-02 12:51:20.462628,0 days 00:01:11.300824,0.7553874486790939,0.6809358393134304,8,0.0497512104293652,0.06923032886039893,0.0423223359266012,0.04416959124596806,0.061754722703998455,0.03553236499162504,0.0008306124811372238,21,7,0.04030093568465544,0.13121647067064962,False,True,1.3804173066823927e-05,COMPLETE
17,0.6223898738622665,2025-03-02 12:51:20.465313,2025-03-02 12:52:59.130949,0 days 00:01:38.665636,0.4743070847524798,0.32096968602790926,8,0.028236069369091003,0.04538316367605423,0.02347944768143323,0.05858053017213782,0.0011910432425712054,0.08491708632707326,0.0926903402428097,30,13,0.06531096362905474,0.25662219774481904,True,True,6.536825877780162e-06,COMPLETE
18,0.571061897277832,2025-03-02 12:52:59.134077,2025-03-02 12:53:56.614106,0 days 00:00:57.480029,0.5568997318625657,0.2013518192695145,8,0.07329278803055612,0.08867809183604253,0.013029716530752232,0.030579489603827344,0.018679176379703184,0.06510072084340555,7.581286918136219e-05,15,8,0.09736726661301642,0.026395842863413704,True,False,1.1823387488212519e-06,COMPLETE
19,0.6241504371166229,2025-03-02 12:53:56.616773,2025-03-02 12:55:27.028310,0 days 00:01:30.411537,0.4206494713577924,0.42651519805714144,8,0.09966008876393227,0.034011575858834214,0.06959072024896643,0.010120331231985247,0.08662980231507383,0.09068870037889985,0.010930260410738774,28,18,0.027000326648679726,0.28782693578244656,False,True,4.2122949706901745e-05,COMPLETE
20,0.647356715798378,2025-03-02 12:55:27.031008,2025-03-02 12:56:52.015394,0 days 00:01:24.984386,0.21108441588204624,0.5695610210528365,8,0.05288309126945383,0.06507385024698284,0.026831231122307918,0.06875824280668368,0.05225281748887818,0.07466263180914587,0.00022907546739583492,25,14,0.044525691773202494,0.23488912137985535,False,True,3.4546197328719704e-06,COMPLETE
21,0.6361140459775925,2025-03-02 12:56:52.018057,2025-03-02 12:58:17.281159,0 days 00:01:25.263102,0.20925977262097048,0.5770713195589193,8,0.049901460598527375,0.0694371242800301,0.02779781791424643,0.07412518178391002,0.05384972158984211,0.07644986462419076,0.000250589395949991,25,21,0.04736981927403128,0.24737957320237564,False,True,2.887117834599998e-06,COMPLETE
22,0.6233840584754943,2025-03-02 12:58:17.283972,2025-03-02 12:59:35.893932,0 days 00:01:18.609960,0.2655364321152554,0.5651151153288931,8,0.026303283342583736,0.04962921994878147,0.0452206592886158,0.07127739868052696,0.03766101901404778,0.05527921804112663,1.528729991605064e-05,24,25,0.060272030171768014,0.2741532683416218,False,True,4.71572126213248e-06,COMPLETE
23,0.5493475049734116,2025-03-02 12:59:35.896671,2025-03-02 13:01:05.067609,0 days 00:01:29.170938,0.37859646181000894,0.723924578593063,8,0.05727785539197983,0.08951687535860536,0.015815211781232574,0.09242659057467056,0.06995635457915665,0.07703159395041562,3.477414184508758e-05,28,14,0.08084837708987994,0.19659528934542925,False,True,1.9866815759561542e-06,COMPLETE
